field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
oms2unrvisitother,other_medical_surgical_treatments_ii,,checkbox,"<div class=""rich-text-field-label""></div>","1, Other",,,,,,"[oms2unrvisit] = '1'",,RH,,,,
oms2unrvisitothertxt,other_medical_surgical_treatments_ii,,text,"<div class=""rich-text-field-label""><p style=""text-align: right;"">Other specify:</p></div>",,,,,,,"[oms2unrvisitother(1)] = '1'",,RH,,,,
pgicsymptomchangestatval,patient_global_impression_of_change_pgic,,radio,"Since the start of the study (treatment), my overall pain is ....","0, Very much improved | 1, Much improved | 2, Minimally improved | 3, No change | 4, Minimally worse | 5, Much worse | 6, Very much worse",,,,,,,,,,,,
bpipainanatsiteareatxt,bpisf_the_brief_pain_inventory_v23_short_form_bpi,,text,,,,,,,,,,,,,,@IMAGEMAP=MBODY
bpi_mbm_z1_rate,bpisf_the_brief_pain_inventory_v23_short_form_bpi," ",radio,"You indicated having pain in the head / face / jaw. 
Please rate your pain in this region by choosing the number that best describes your average pain in the LAST 24 HOURS.","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10","0 = No Pain ------------------------------------------------------------------ 10 = Pain as bad as you can imagine",,,,,"(contains ([bpipainanatsiteareatxt], ""a00"") or contains ([bpipainanatsiteareatxt], ""a01"") or contains ([bpipainanatsiteareatxt], ""a02"") or contains ([bpipainanatsiteareatxt], ""a25""))",,LH,,,,
bpi_mbm_z1_dur,bpisf_the_brief_pain_inventory_v23_short_form_bpi,,radio,"How long have you been experiencing pain in the head / face / jaw? Choose the best option:","1, less than 1 month | 2, 1 month or more, but less than 6 months | 3, 6 months or more, but less than 2 years | 4, 2 years or more",,,,,,"(contains ([bpipainanatsiteareatxt], ""a00"") or contains ([bpipainanatsiteareatxt], ""a01"") or contains ([bpipainanatsiteareatxt], ""a02"") or contains ([bpipainanatsiteareatxt], ""a25""))",,LV,,,,
bpi_mbm_z2_rate,bpisf_the_brief_pain_inventory_v23_short_form_bpi," ",radio,"You indicated having pain in the neck. 
Please rate your pain in this region by choosing the number that best describes your average pain in the LAST 24 HOURS.","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10","0 = No Pain ------------------------------------------------------------------ 10 = Pain as bad as you can imagine",,,,,"contains ([bpipainanatsiteareatxt], ""a26"")",,LH,,,,
bpi_mbm_z2_dur,bpisf_the_brief_pain_inventory_v23_short_form_bpi,,radio,"How long have you been experiencing pain in the neck? Choose the best option:","1, less than 1 month | 2, 1 month or more, but less than 6 months | 3, 6 months or more, but less than 2 years | 4, 2 years or more",,,,,,"contains ([bpipainanatsiteareatxt], ""a26"")",,LV,,,,
bpi_mbm_z3_rate,bpisf_the_brief_pain_inventory_v23_short_form_bpi," ",radio,"You indicated having pain in the chest/breast. 
Please rate your pain in this region by choosing the number that best describes your average pain in the LAST 24 HOURS.","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10","0 = No Pain ------------------------------------------------------------------ 10 = Pain as bad as you can imagine",,,,,"contains ([bpipainanatsiteareatxt], ""a03"") or contains ([bpipainanatsiteareatxt], ""a04"")",,LH,,,,
bpi_mbm_z3_dur,bpisf_the_brief_pain_inventory_v23_short_form_bpi,,radio,"How long have you been experiencing pain in the chest/breast? Choose the best option:","1, less than 1 month | 2, 1 month or more, but less than 6 months | 3, 6 months or more, but less than 2 years | 4, 2 years or more",,,,,,"contains ([bpipainanatsiteareatxt], ""a03"") or contains ([bpipainanatsiteareatxt], ""a04"")",,LV,,,,
